scenario,mode,counter,mean,std,median,mad,cv
cross,null,ipc_stat,1.3140392044391918,0.023476184096908916,1.3159178211340354,0.02111818135190946,0.024721071453784015
cross,null,cycle_per_msg_stat,2957.9008900500003,68.96390845601304,2950.29009375,54.55122800000004,0.02848258182661271
cross,null,cache_miss_rate_stat,0.003973205742807251,0.0022024832331447265,0.003496967155502014,0.002066473754406329,0.9102860428121112
cross,null,branch_miss_rate_stat,0.0032310859787991605,5.1957844988921536e-05,0.0032277518388249327,2.7568141306971933e-05,0.013156697586436363
cross,null,throughput_stat,281350.6,12603.151609374889,285613.0,8349.5,0.04503208355116888
cross,null,ex_vol_ctx_sw_stat,23.6,6.801960501698511,21.0,3.0,0.22006019999999998
cross,null,ex_invol_ctx_sw_stat,204.9,245.41640350863088,83.0,22.0,0.4083044674698795
cross,null,gw_vol_ctx_sw_stat,790643.5,71789.91163612212,816430.0,35189.5,0.06639474156424922
cross,null,gw_invol_ctx_sw_stat,220.6,161.26527490098073,181.5,97.5,0.8274990991735536
cross,null,lob_vol_ctx_sw_stat,1024057.3,35229.19369579093,1026388.5,18936.5,0.028420222791954504
cross,null,lob_invol_ctx_sw_stat,156.3,103.09871213766176,131.0,70.5,0.8290054099236641
cross,decode,ipc_stat,1.30554493517703,0.02311685508642787,1.3015930408260004,0.009600669971011944,0.011362289912290036
cross,decode,cycle_per_msg_stat,2983.25261115,39.946455645361645,2987.2656595,32.9255727499999,0.016978488910104478
cross,decode,cache_miss_rate_stat,0.004418302264603538,0.0021941102166429614,0.005182349137826399,0.001558060764662255,0.4631239772843147
cross,decode,branch_miss_rate_stat,0.0030973394897309873,5.617675247432611e-05,0.0030862851653164916,3.185413091324118e-05,0.01589897961749959
cross,decode,throughput_stat,290796.6,6572.431601436075,290895.5,3218.5,0.01704339281941453
cross,decode,ex_vol_ctx_sw_stat,23.6,6.801960501698511,21.0,3.0,0.22006019999999998
cross,decode,ex_invol_ctx_sw_stat,204.9,245.41640350863088,83.0,22.0,0.4083044674698795
cross,decode,gw_vol_ctx_sw_stat,790643.5,71789.91163612212,816430.0,35189.5,0.06639474156424922
cross,decode,gw_invol_ctx_sw_stat,220.6,161.26527490098073,181.5,97.5,0.8274990991735536
cross,decode,lob_vol_ctx_sw_stat,1024057.3,35229.19369579093,1026388.5,18936.5,0.028420222791954504
cross,decode,lob_invol_ctx_sw_stat,156.3,103.09871213766176,131.0,70.5,0.8290054099236641
cross,match,ipc_stat,1.41209691705436,0.021785924003448337,1.409086684380986,0.017362703935481005,0.018981004504934815
cross,match,cycle_per_msg_stat,3363.8613694499995,51.32198624350195,3357.4264384999997,52.88040725000042,0.02426206871862512
cross,match,cache_miss_rate_stat,0.1387795220317898,0.0023072474490230697,0.13927737068955282,0.0012619145618219252,0.01395689900217169
cross,match,branch_miss_rate_stat,0.0035193285047790167,3.4254689057500566e-05,0.003521943078602037,2.3722123274173747e-05,0.010375541435348789
cross,match,throughput_stat,288970.5,5999.169724961021,290018.5,4936.5,0.026220017830241863
cross,match,ex_vol_ctx_sw_stat,23.6,6.801960501698511,21.0,3.0,0.22006019999999998
